source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
NEK9;ACTIVATE;ABI2;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q8TD19;Q9NYB9
NEK9;ACTIVATE;NEK7;"PhosphoSite;PhosphoSite_dir;HPRD-phos;PhosphoSite_noref;dbPTM;PhosphoPoint;phosphoELM;Signor;BioGRID;MIMP;HPRD;PhosphoNetworks";"12840024;12840024;19369195;12840024;18691976;18452278;12840024;18691976;20562859;12840024;12840024";11;Q8TD19;Q8TDX7
CSNK2B;ACTIVATE;RNF7;"Signor;BioGRID;HPRD-phos;MIMP;HPRD";"12748192;12748192;11710515;12470599;10512750;11710515;12470599;12748192";8;P67870;Q9UBF6
CSNK2B;ACTIVATE;EIF5;"Signor;HPRD-phos;MIMP;HPRD";"11861906;17287340;11861906;19415658;19413330;18669648;20068231;18452278;18691976;19651622;11861906";11;P67870;P55010
CSNK2B;ACTIVATE;OCLN;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD-phos;Wang;MIMP;HPRD";"12804768;12804768;20166139;12804768";4;P67870;Q16625
CSNK2B;INHIBIT;IKZF1;Signor;21750978;1;P67870;Q13422
CSNK2B;INHIBIT;CTDP1;"Signor;HPRD-phos;MIMP;HPRD";"12591939;19664994;12591939;19664995;18669648;12591939";6;P67870;Q9Y5B0
TNFRSF10B;ACTIVATE;TRADD;"HPRD;DeathDomain;SPIKE";"9430227;9430228;9430227;9430228;9430227";5;O14763;Q15628
TNFRSF10B;ACTIVATE;CASP8;"SignaLink3;HPRD;BioGRID;Laudanna_sigflow;Wang;InnateDB";"22421964;15659383;11940602;9325248;26186194;23142077;19343040;15388581;17047155;12721308;22421964;12218097";12;O14763;Q14790
TNFRSF10B;ACTIVATE;RIPK1;"HPRD;SPIKE;BioGRID";"9430227;9430227;22585859;9430227";4;O14763;Q13546
TRADD;ACTIVATE;BIRC2;"HPRD;Signor";"8943045;8943045";2;Q15628;Q13490
